Columna,Tipo de Dato
p_host_id_492758013,int64
p_host_id_492835190,int64
p_host_id_494658101,int64
p_host_id_495439249,int64
p_host_id_498698680,int64
p_host_id_499192301,int64
p_host_id_501999278,int64
p_host_id_502313143,int64
p_host_id_502500151,int64
p_host_id_503403347,int64
p_host_id_504949339,int64
p_host_id_506331310,int64
p_host_id_507147132,int64
p_host_id_507150829,int64
p_host_id_507787766,int64
p_host_id_508953862,int64
p_host_id_510712953,int64
p_host_id_512880683,int64
p_host_id_515736729,int64
p_host_id_516945620,int64
p_host_id_518080572,int64
p_host_id_518882444,int64
p_host_id_520012073,int64
p_host_id_520718503,int64
p_host_id_523515799,int64
p_host_id_525275764,int64
p_host_id_525421476,int64
p_host_id_526738308,int64
p_host_id_528489640,int64
p_host_id_530105776,int64
p_host_id_531150506,int64
p_host_id_531619936,int64
p_host_id_538827522,int64
p_host_id_538863289,int64
p_host_id_539671081,int64
p_host_id_539806487,int64
p_host_id_541813300,int64
p_host_id_541993082,int64
p_host_id_544558363,int64
p_host_id_546036653,int64
p_host_id_548573234,int64
p_p_zipcode_01125,int64
p_p_zipcode_02026,int64
p_p_zipcode_02102,int64
p_p_zipcode_02108,int64
p_p_zipcode_02109,int64
p_p_zipcode_02110,int64
p_p_zipcode_02111,int64
p_p_zipcode_02112,int64
p_p_zipcode_02113,int64
p_p_zipcode_02114,int64
p_p_zipcode_02115,int64
p_p_zipcode_02116,int64
p_p_zipcode_02117,int64
p_p_zipcode_02118,int64
p_p_zipcode_02119,int64
p_p_zipcode_02120,int64
p_p_zipcode_02121,int64
p_p_zipcode_02122,int64
p_p_zipcode_02124,int64
p_p_zipcode_02125,int64
p_p_zipcode_02126,int64
p_p_zipcode_02127,int64
p_p_zipcode_02128,int64
p_p_zipcode_02129,int64
p_p_zipcode_02130,int64
p_p_zipcode_02131,int64
p_p_zipcode_02132,int64
p_p_zipcode_02133,int64
p_p_zipcode_02134,int64
p_p_zipcode_02135,int64
p_p_zipcode_02136,int64
p_p_zipcode_02137,int64
p_p_zipcode_02138,int64
p_p_zipcode_02141,int64
p_p_zipcode_02145,int64
p_p_zipcode_02150,int64
p_p_zipcode_02152,int64
p_p_zipcode_02163,int64
p_p_zipcode_02199,int64
p_p_zipcode_02201,int64
p_p_zipcode_02203,int64
p_p_zipcode_02205,int64
p_p_zipcode_02210,int64
p_p_zipcode_02212,int64
p_p_zipcode_02214,int64
p_p_zipcode_02215,int64
p_p_zipcode_02222,int64
p_p_zipcode_02245,int64
p_p_zipcode_02446,int64
p_p_zipcode_02447,int64
p_p_zipcode_02492,int64
p_property_type_Boat,int64
p_property_type_Entire condo,int64
p_property_type_Entire guest suite,int64
p_property_type_Entire guesthouse,int64
p_property_type_Entire home,int64
p_property_type_Entire loft,int64
p_property_type_Entire place,int64
p_property_type_Entire rental unit,int64
p_property_type_Entire serviced apartment,int64
p_property_type_Entire townhouse,int64
p_property_type_Entire vacation home,int64
p_property_type_Houseboat,int64
p_property_type_Private room,int64
p_property_type_Private room in bed and breakfast,int64
p_property_type_Private room in casa particular,int64
p_property_type_Private room in condo,int64
p_property_type_Private room in guest suite,int64
p_property_type_Private room in home,int64
p_property_type_Private room in hostel,int64
p_property_type_Private room in loft,int64
p_property_type_Private room in minsu,int64
p_property_type_Private room in rental unit,int64
p_property_type_Private room in serviced apartment,int64
p_property_type_Private room in townhouse,int64
p_property_type_Private room in vacation home,int64
p_property_type_Room in aparthotel,int64
p_property_type_Room in boutique hotel,int64
p_property_type_Room in hotel,int64
p_property_type_Shared room in bed and breakfast,int64
p_property_type_Shared room in boutique hotel,int64
p_property_type_Shared room in condo,int64
p_property_type_Shared room in home,int64
p_property_type_Shared room in rental unit,int64
p_room_type_Entire home/apt,int64
p_room_type_Hotel room,int64
p_room_type_Private room,int64
p_room_type_Shared room,int64
p_bathrooms_text_0 baths,int64
p_bathrooms_text_0 shared baths,int64
p_bathrooms_text_1 bath,int64
p_bathrooms_text_1 private bath,int64
p_bathrooms_text_1 shared bath,int64
p_bathrooms_text_1.5 baths,int64
p_bathrooms_text_1.5 shared baths,int64
